,recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
0,41616845,"{'steamid': '76561198118768239', 'num_games_owned': 28, 'num_reviews': 1, 'playtime_forever': 20742, 'playtime_last_two_weeks': 0, 'last_played': 1549522074}",english,"Hey developers, do you guys know there are a lot of people who are blatantly selling hacking softwares on the leaderboard? You can simply tell from their id. So I guess my question would be why you guys haven't banned them yet? I mean they are probably the easiest to be detected. For example, wg123456789 is a very typical id that is selling hacks. I understand that you guys don't speak Chinese but you can reach out to me or other Chinese players. I speak very good Chinese and English and know all the ins and outs of this shady market.",1524366186,1524366186,True,1119,103,0.919803202152252197,48,True,False,False
1,55413038,"{'steamid': '76561198213941960', 'num_games_owned': 72, 'num_reviews': 4, 'playtime_forever': 32610, 'playtime_last_two_weeks': 483, 'last_played': 1575433022}",english,"Boy oh boy, here we go.
I don't feel as ""qualified"" to write this review as some, because of my comparatively low amount of hours played. But, I have been playing since early 2017 when the game was first becoming popular.

PUBG is an extremely polarizing game. It seems that you either hate it or you don't. There are many reasons for this. This review is mainly focused on giving you a snapshot of one player's experience (myself, obviously), and my ultimate verdict on whether or not this game is worth your 30 USD.

The concept of the game is great. If you don't like battle royales, don't play it. If you like battle royales, you might like it. Simple as that.

PUBG has a focus on realistic, skill-based weapon handling and gameplay. Obviously, it's not a simulator in the sense of realism, but the weapon physics - bullet drop, bullet velocity, shotgun spread, etc. - is quite reasonable. It's a game that is difficult to learn, let alone master, unless you've played a lot of games with similar gameplay, like DayZ or Arma 3.

I'm not going to go into the variety of weapons, maps, and tactics in this review. The main purpose is to address the primary issues people have with the game. From my experience (which includes reading many other reviews), these issues are: hackers, lag/desync, poor optimization, and bad game support. Let's break them down one by one.

PUBG has always had a major hacker problem. If you've been following the game for a while like I have, you know that PUBG Corp (the company that now owns the game) has been fighting hackers since release. Hundreds of thousands, maybe millions, have been banned during the game's lifetime. There was a time when you would get killed by someone using aimbot at least half of the time. I remember a game where I looked at the kill feed and suddenly saw there were only 15 people left - 2 minutes into the game. Then I got hit with a shotgun. Watching the deathcam, I saw a naked man holding a shotgun, spinning rapidly in all directions, shooting wildly, halfway across the map. Killing everyone. Hacking is a problem.
But - but! It is not as big of a problem as it used to be. You will read reviews that say that ""oh I die to hackers literally 90% of the time"" and stuff like that. I don't want to slander anyone, but I have a really hard time believing those reviews. In the last three months, I have played about a 900 games (the game tracks your stats closely). I have been killed by an obvious hacker twice. TWICE. I reported them both times, and, both times, I got a message from the game a few days later telling me that the player I had reported had been banned. 
The inherent problem is that many people, I think, don't understand the difference between being really good and hacking. It's easy to cry AIMBOT! at someone who killed you with a full-auto burst from an assault rifle at 100 meters, but maybe that person is a god-tier player with 3000+ hours under their belt? My experience: hacking is no longer the huge, gamebreaking issue it once was, and should not be something that stops you from buying and playing the game.

Next is lag/desync. This, I have also had a history of problems with. I have lost games because my game desynced. Is this the fault of the developers, or my own crappy internet connection? I don't know. What I do know is that, in the last three months, I have experienced major desync maybe once. Maybe. And I don't get lag anymore. I think that your own internet connection has a much bigger chance of ruining the game with lag and desync, and I don't think that the game itself is broken in this way.

Now for poor optimization. This one is big for me. This game is terribly optimized, especially for FPS. My GTX 1080 can't even give me 70 FPS at moderate settings. I haven't been able to find a fix. Many others have this problem or others. I don't see any justification for how a game this popular that has been out for this long can still be so poorly optimized. This one is tough, but I deal with it because I like the game.

And, finally, poor development support. I won't go into this one much, because everyone has different opinions on what the developer should update or change next. I will say that PUBG Corp cares about money more than its players, and they usually focus or releasing new (obscenely expensive for what they are) skins over new content. 

In conclusion, while PUBG is a flawed game that will always be divisive, I recommend it. The issues I have mentioned are usually overblown by people who hate the game, in my experience. Give it a try, and who knows, you might get hooked. But if you stop playing after 3 hours, I don't think it will be because of any of the big issues. It will be because it just isn't the right game for you.

Thank you for reading this review; I hope it helps you.",1570047110,1570056566,True,422,21,0.918850362300872803,0,True,False,False
2,41547305,"{'steamid': '76561198416624152', 'num_games_owned': 5, 'num_reviews': 1, 'playtime_forever': 11640, 'playtime_last_two_weeks': 59, 'last_played': 1575424268}",english,They should make training map so people can practice their aim.,1524009517,1524009517,True,1672,80,0.91774141788482666,64,True,False,False
3,40347994,"{'steamid': '76561198082807446', 'num_games_owned': 156, 'num_reviews': 1, 'playtime_forever': 19985, 'playtime_last_two_weeks': 0, 'last_played': 1570592309}",english,"▒█▀▀█ ▒█▀▀▀ ▒█▀▀█ ▀█▀ ▒█▀▀▀█ ▒█▄░▒█
▒█▄▄▀ ▒█▀▀▀ ▒█░▄▄ ▒█░ ▒█░░▒█ ▒█▒█▒█
▒█░▒█ ▒█▄▄▄ ▒█▄▄█ ▄█▄ ▒█▄▄▄█ ▒█░░▀█

▒█░░░ ▒█▀▀▀█ ▒█▀▀█ ▒█░▄▀
▒█░░░ ▒█░░▒█ ▒█░░░ ▒█▀▄░
▒█▄▄█ ▒█▄▄▄█ ▒█▄▄█ ▒█░▒█

▒█▀▀█ ▒█░▒█ ▀█▀ ▒█▄░▒█ ░█▀▀█
▒█░░░ ▒█▀▀█ ▒█░ ▒█▒█▒█ ▒█▄▄█
▒█▄▄█ ▒█░▒█ ▄█▄ ▒█░░▀█ ▒█░▒█
 please",1519454694,1519454694,True,3202,607,0.914932429790496826,69,True,False,False
4,39760181,"{'steamid': '76561198174209683', 'num_games_owned': 72, 'num_reviews': 7, 'playtime_forever': 9262, 'playtime_last_two_weeks': 0, 'last_played': 1564763413}",english,"- (YES I recommend this game)-, but when I want to be able to duo or squad up with people from my region which is NA and all I get are people I can't understand and they dont understand me so how am I or they to win when we can't communicate or make callouts????? SIMPLE SOLUTION

▒█▀▀█ ▒█▀▀▀ ▒█▀▀█ ▀█▀ ▒█▀▀▀█ ▒█▄░▒█
▒█▄▄▀ ▒█▀▀▀ ▒█░▄▄ ▒█░ ▒█░░▒█ ▒█▒█▒█
▒█░▒█ ▒█▄▄▄ ▒█▄▄█ ▄█▄ ▒█▄▄▄█ ▒█░░▀█

▒█░░░ ▒█▀▀▀█ ▒█▀▀█ ▒█░▄▀
▒█░░░ ▒█░░▒█ ▒█░░░ ▒█▀▄░
▒█▄▄█ ▒█▄▄▄█ ▒█▄▄█ ▒█░▒█

▒█▀▀█ ▒█░▒█ ▀█▀ ▒█▄░▒█ ░█▀▀█
▒█░░░ ▒█▀▀█ ▒█░ ▒█▒█▒█ ▒█▄▄█
▒█▄▄█ ▒█░▒█ ▄█▄ ▒█░░▀█ ▒█░▒█",1517454726,1517454726,True,1767,300,0.901046633720397949,58,True,False,False
5,38425732,"{'steamid': '76561197961863006', 'num_games_owned': 1000, 'num_reviews': 3, 'playtime_forever': 67423, 'playtime_last_two_weeks': 60, 'last_played': 1575398206}",english,Fun and challenging for both you and your pc.,1513668236,1513687738,True,6987,15597,0.899601757526397705,183,True,False,True
6,39722778,"{'steamid': '76561198067218277', 'num_games_owned': 814, 'num_reviews': 4, 'playtime_forever': 23303, 'playtime_last_two_weeks': 0, 'last_played': 1566800204}",english,best 7 tick server and 600 ping chinese cheater simulator of our generation,1517302504,1517302504,True,1315,1048,0.897836863994598389,27,True,False,False
7,51185695,"{'steamid': '76561198400772140', 'num_games_owned': 2, 'num_reviews': 2, 'playtime_forever': 66195, 'playtime_last_two_weeks': 0, 'last_played': 1573888624}",english,"love the game, hate the company",1560326115,1560326115,True,545,182,0.888802051544189453,21,True,True,False
8,39624622,"{'steamid': '76561198449546576', 'num_games_owned': 235, 'num_reviews': 2, 'playtime_forever': 16705, 'playtime_last_two_weeks': 0, 'last_played': 1544696611}",english,"===[ ❤ Player Bases: ]===
☐ Kids
☐ Everyone
☑ Casual players
☑ Pro players
☑ Hackers

===[ ☼ Graphics: ]===
☐ Potato
☐ Really bad
☐ Bad
☑ OK
☐ Good
☐ Beautiful
☐ Masterpiece

===[ $ Price/quality: ]===
☑ Full price
☐ Wait for sale
☐ Average
☐ Refund it if you can
☐ Don't do it
☐ Free

===[ ☣ Requirments: ]===
☐ 90' PC
☐ Minimum
☐ Medium
☑ Fast
☐ High end
☐ NASA computer

===[ ☼ Difficulty: ]===
☐ You just need 2 arms
☐ Ez
☑ Easy to learn / Hard to master
☐ Hard (first few hours)
☐ Dark Souls


===[ ۞ Game time/length ]===
☐ Really short ( 0 - 2 hours)
☐ Short ( 2 - 8 hours)
☐ Few hours ( 8 - 12 hours)
☐ Long ( 12+ hours)
☑ Endless

===[ ♬ Story] ===
☑ It doesn't have
☐ Still better than Twilight
☐ Average
☐ Good
☐ Fantastic

===[ § Bugs ]===
☐ Game itself is one big BUG
☑ Bugs destroying the game
☑ Lot of bugs
☐ Few Bugs
☐ You can use them for speedrun
☐ Nothing

===[ ✦ Others: ]===
Multiplayer: YES
Singleplayer: NO

Very Steady Developement and growing playerbase.
Probably one of the most successful early access games out there on steam.
Constant updates and bug fixes too!
Can be somewhat demanding for the pc depending on the settings used.
It's by far one of my favorite survival games. It has really come a long way.

#REGIONLOCKCHINA +1",1516958772,1517593690,True,1609,374,0.878066956996917725,47,True,False,False
9,39595565,"{'steamid': '76561198256239244', 'num_games_owned': 47, 'num_reviews': 2, 'playtime_forever': 34746, 'playtime_last_two_weeks': 0, 'last_played': 1569800388}",english,FIX YOUR FUCKING GAME YOU BLUEHOLE CUNTS GET YOUR SERVERS IN CHECK REGION LOCK CHINA AND STOP BEING SO FUCKING GREEDY YOU ASSHOLES,1516849054,1521782501,True,511,59,0.874107718467712402,8,True,False,False
